name;open;high;low;close;volume;marketCap;timestamp
"2781";26.1102367204;30.8958068815;22.285090998;28.9928123459;401284188.47;968206299.44;"2022-02-21T00:00:00.000Z"
"2781";28.9853363434;34.569288973;28.1033854384;28.2026296495;413764944.86;941818384.56;"2022-02-28T00:00:00.000Z"
"2781";28.196593048;38.6201821997;27.3074586059;30.5332674424;519555515.05;1019649336.8;"2022-03-07T00:00:00.000Z"
"2781";30.5209597846;36.5247100169;29.6409724941;32.3641092992;420499747.07;1080789753.18;"2022-03-14T00:00:00.000Z"
"2781";32.354088664;37.6321823178;31.4391209717;37.5985445518;394343920.44;1255592153.35;"2022-03-21T00:00:00.000Z"
"2781";37.599443285;41.6245677419;34.8101590942;40.8987665405;454629355.91;1365802079.89;"2022-03-28T00:00:00.000Z"
"2781";40.8933138771;40.8933138771;32.1839154594;33.9288366739;228831331.68;1133043356.01;"2022-04-04T00:00:00.000Z"
"2781";33.9332056921;34.8368861707;28.6097494333;28.7792932134;185139747.02;961075891.86;"2022-04-11T00:00:00.000Z"
"2781";28.780659977;31.7673105794;26.807398191;26.8077190129;274019026.49;895235760.93;"2022-04-18T00:00:00.000Z"
"2781";26.8025201583;28.3233541149;22.1514657717;25.2688590033;349715629.6;843845991.03;"2022-04-25T00:00:00.000Z"
"2781";25.2532047879;26.9816539063;19.4202660116;19.6946992914;329718444.83;657698594.13;"2022-05-02T00:00:00.000Z"
"2781";19.7083414113;20.408111279;9.9538898129;18.8989083805;681141044.36;631123394.6;"2022-05-09T00:00:00.000Z"
"2781";18.9023832376;18.9023832376;13.660270485;15.7792892929;338341050.18;526944647.93;"2022-05-16T00:00:00.000Z"
"2781";15.7736225025;16.3790172787;12.3653496585;13.3205442059;275740761.61;444835590.92;"2022-05-23T00:00:00.000Z"
"2781";13.3199907061;16.2784518711;12.0315928095;12.6882924766;236196550.53;423721733.46;"2022-05-30T00:00:00.000Z"
"2781";12.7006406597;14.7163600307;9.981918726;10.1109708288;186025409.8;337652847.65;"2022-06-06T00:00:00.000Z"
"2781";10.1143901763;10.2437419808;7.2127784947;8.6114498334;203160335.78;287576792.37;"2022-06-13T00:00:00.000Z"
"2781";8.6109475855;10.9356557503;8.2393294057;9.8179906823;130135069.68;327868863.26;"2022-06-20T00:00:00.000Z"
"2781";9.8205498182;11.7798183278;8.2992124659;11.6365680496;183533713;388599710.69;"2022-06-27T00:00:00.000Z"
"2781";11.6309153919;12.5184364217;11.0700222182;11.7337069762;182671144.49;391843636.1;"2022-07-04T00:00:00.000Z"
"2781";11.7188470624;16.2959104887;10.6305781129;15.4246195999;265296224.9;515100559.58;"2022-07-11T00:00:00.000Z"
"2781";15.4186155441;17.3373168955;13.0976535144;13.3236405248;234483690.51;444938991.56;"2022-07-18T00:00:00.000Z"
"2781";13.3271984417;18.115441233;11.6432235344;15.5188864724;449232793.61;518248573.6;"2022-07-25T00:00:00.000Z"
"2781";15.5155446769;16.2939598605;13.2984221374;14.6321057422;308112387.18;488634796.27;"2022-08-01T00:00:00.000Z"
"2781";14.6369039539;16.0742260024;13.6450740293;13.8763930644;211432442.56;463397997.35;"2022-08-08T00:00:00.000Z"
"2781";13.8810525644;14.4050103697;11.6930342727;12.6725797419;159723423.54;423197011.39;"2022-08-15T00:00:00.000Z"
"2781";12.670605228;12.9632760867;10.2860939055;10.2911693924;116872980.35;343670524.8;"2022-08-22T00:00:00.000Z"
"2781";10.2905240233;11.01264389;9.8384231482;10.2588292422;87092251.79;342590535.16;"2022-08-29T00:00:00.000Z"
"2781";10.2581653298;11.5799700826;9.2763079794;11.2838726111;124256983;376821551.98;"2022-09-05T00:00:00.000Z"
"2781";11.2834821014;11.5858945574;9.3468405448;9.4133385369;113149759.97;314355625.86;"2022-09-12T00:00:00.000Z"
"2781";9.4150588575;10.3665973104;8.9548797429;9.3739798866;146418445.26;313041255.5;"2022-09-19T00:00:00.000Z"
"2781";9.3793617133;10.0817966008;8.9324828926;9.0519048824;150429501.19;302285657.03;"2022-09-26T00:00:00.000Z"
"2781";9.0559860453;9.7279695636;8.7804970298;8.8733662045;72403285.28;296323411.27;"2022-10-03T00:00:00.000Z"
"2781";8.8729082323;10.1612181244;8.4622142896;10.0535500941;103776688.28;335735299.39;"2022-10-10T00:00:00.000Z"
"2781";10.0511940041;10.8681515275;9.7615966881;10.5877942586;82303878.54;353576223.52;"2022-10-17T00:00:00.000Z"
"2781";10.587573153;11.2844106726;10.0393639677;10.3919819029;159642484.81;347037128.45;"2022-10-24T00:00:00.000Z"
"2781";10.3894186077;17.6389946142;9.9152809246;14.2172209104;931576114.2;474779841.36;"2022-10-31T00:00:00.000Z"
"2781";14.2146393979;14.512246642;8.5274227347;8.6718499376;483488936.46;289593835.79;"2022-11-07T00:00:00.000Z"
"2781";8.6664511519;11.1609120488;8.3209802393;9.452769918;258805299.54;315672425.04;"2022-11-14T00:00:00.000Z"
"2781";9.4531146611;9.7776531141;8.621946391;9.1905691016;187770544.29;306916307.17;"2022-11-21T00:00:00.000Z"
"2781";9.1903219301;9.8390231713;8.8587011992;9.3146181668;165489074.75;311058888.61;"2022-11-28T00:00:00.000Z"
"2781";9.3106720952;9.7881908078;8.6314862643;8.6792960045;127455955.56;289842494.97;"2022-12-05T00:00:00.000Z"
"2781";8.6789447596;9.0522085283;7.2930172928;7.7250694877;128787128.49;257976385.75;"2022-12-12T00:00:00.000Z"
"2781";7.7235469767;7.8286960042;6.1829740039;6.3348429317;92507639.26;211550185.59;"2022-12-19T00:00:00.000Z"
"2781";6.3345767769;6.7344327902;6.0949589084;6.3592495289;58474234.73;212365236.61;"2022-12-26T00:00:00.000Z"
"2781";6.3595360774;7.3415188464;6.2394893092;7.2795848668;75510660.78;243099560.04;"2023-01-02T00:00:00.000Z"
"2781";7.2828857899;9.4923621497;7.2575713544;9.0919739991;186896512.08;303623753.2;"2023-01-09T00:00:00.000Z"
"2781";9.0924172037;10.2344772628;8.4031575259;9.7169182212;201364337.19;324493578.64;"2023-01-16T00:00:00.000Z"
"2781";9.7184755185;10.9922199096;9.3990951239;10.9419322112;209906845.36;365402554.56;"2023-01-23T00:00:00.000Z"
"2781";10.939378716;12.7638491089;9.8270436685;11.5259961227;411015007.15;384907194.25;"2023-01-30T00:00:00.000Z"
"2781";11.5259322471;13.5207892779;10.1594843382;11.0928714922;374114053.61;370443126.72;"2023-02-06T00:00:00.000Z"
"2781";11.0979485132;13.9555499609;10.05053176;12.4830892793;493176363.83;416869034.04;"2023-02-13T00:00:00.000Z"
"2781";12.4908395349;13.1895172578;9.4512513489;10.2487788039;317329738.96;342254903.78;"2023-02-20T00:00:00.000Z"
"2781";10.2496555245;10.7552715357;8.4854099938;8.7170485952;258668280.1;291103231.45;"2023-02-27T00:00:00.000Z"
"2781";8.7171244164;8.9921928684;6.91711342;8.3024573167;242983001.37;277258079.66;"2023-03-06T00:00:00.000Z"
"2781";8.3035928891;9.7722747089;7.569024722;9.0600357772;306114870.75;302557185.84;"2023-03-13T00:00:00.000Z"
"2781";9.0582828266;9.2882406394;7.9050467519;8.271041901;131151893.22;276208971.25;"2023-03-20T00:00:00.000Z"
"2781";8.2716974469;8.9693076651;7.6207450684;8.3055845428;82859806.4;277362512.44;"2023-03-27T00:00:00.000Z"
"2781";8.3064505967;8.7340094824;8.1012344642;8.4154274046;69739820.98;281030681.97;"2023-04-03T00:00:00.000Z"
"2781";8.4137725802;9.4883945527;8.2607028137;9.3891377478;119653019.88;313547447.74;"2023-04-10T00:00:00.000Z"
"2781";9.3898914376;9.4057493451;7.5374632616;7.7810103326;89909173.23;259844513.54;"2023-04-17T00:00:00.000Z"
"2781";7.7810531104;8.0665081332;7.3189349938;7.5864198612;51841606.38;253346222.93;"2023-04-24T00:00:00.000Z"
"2781";7.5820326266;8.0016867454;7.2469779702;7.2575313796;63362707.91;242363090.43;"2023-05-01T00:00:00.000Z"
"2781";7.2538979294;7.2737079871;6.2246724114;6.6480516331;75675187.86;222009696.53;"2023-05-08T00:00:00.000Z"
"2781";6.6480834657;6.9877717795;6.5341774594;6.6473100283;34675403.05;221984930.86;"2023-05-15T00:00:00.000Z"
"2781";6.6469665736;7.0774503617;6.3983561989;7.0160478435;32669958.06;234298819.94;"2023-05-22T00:00:00.000Z"
"2781";7.0161540661;7.0471357956;6.4798387882;6.8423184642;34184504.25;228497179.26;"2023-05-29T00:00:00.000Z"
"2781";6.841966546;6.8541979472;4.2208036579;5.0026658466;67333434.25;167062530.16;"2023-06-05T00:00:00.000Z"
"2781";5.0023367165;5.3019436568;4.8162221191;4.9348633825;38399220.09;164798287.14;"2023-06-12T00:00:00.000Z"
"2781";4.9350006057;5.7045072942;4.8216201156;5.5681839676;47611330.94;185947838.72;"2023-06-19T00:00:00.000Z"
"2781";5.5676650069;5.8710017644;5.0470435317;5.8693196404;44413241.88;196004174.47;"2023-06-26T00:00:00.000Z"
"2781";5.869779641;6.2576810331;5.4918001382;5.8615034463;57814440.82;195743155;"2023-07-03T00:00:00.000Z"
"2781";5.8599381481;6.2225651528;5.6491829901;5.6718518809;40402215.52;189409797.68;"2023-07-10T00:00:00.000Z"
"2781";5.6711466523;6.2391542324;5.5505499141;6.1514607604;70444190.71;205426192.81;"2023-07-17T00:00:00.000Z"
"2781";6.1505898544;6.1585890856;5.3741050653;5.4973296525;69897165.32;359823232.09;"2023-07-24T00:00:00.000Z"
"2781";5.4957757138;5.5911524526;5.1742762657;5.2234062965;82833279.24;341893802.07;"2023-07-31T00:00:00.000Z"
"2781";5.2240794611;5.3695047114;4.8886241898;5.2295770873;43324456.89;342297706.15;"2023-08-07T00:00:00.000Z"
"2781";5.2298921663;5.4276764543;4.2611265118;4.4963236751;73146223.36;294303201.66;"2023-08-14T00:00:00.000Z"
"2781";4.4965847621;4.5476026203;4.0018780099;4.2032231855;120734236.46;275118547.98;"2023-08-21T00:00:00.000Z"
"2781";4.2036428434;4.4558166819;4.0412525938;4.0884957573;29145024.46;267609157.67;"2023-08-28T00:00:00.000Z"
"2781";4.0882971507;4.3640650195;3.987629047;4.0452991694;38268472.83;264781760.22;"2023-09-04T00:00:00.000Z"
"2781";4.0452950218;4.7417913032;3.8280239552;4.3197064662;50342971.29;282742866.19;"2023-09-11T00:00:00.000Z"
"2781";4.3206375051;4.4781338444;4.0669553908;4.0788650147;32018487.93;266978785.27;"2023-09-18T00:00:00.000Z"
"2781";4.0787279888;4.4942781378;4.0665454134;4.4383545028;23375484.59;290508876.73;"2023-09-25T00:00:00.000Z"
"2781";4.4379022685;4.4788174618;3.9694510915;4.0048629148;59201524.36;262135038.13;"2023-10-02T00:00:00.000Z"
